date,num_rides,holiday,Max_Temp,Min_Temp,Rain_in,Snow&Hail_in,obs_time_ Snow&Hail_in
2018/03/05,290661,FALSE,43,33,0,0,0
2018/03/06,315757,FALSE,47,32,0.001,0,0
2018/03/07,233281,FALSE,39,33,1.41,3.2,0
2018/03/08,326673,FALSE,39,33,0.001,0.001,3.1
2018/03/09,348471,FALSE,42,30,0,0,2
2018/03/10,342113,FALSE,40,31,0,0,0.001
2018/03/11,278500,FALSE,45,32,0,0,0
2018/03/12,293877,FALSE,43,32,0.08,0.001,0
2018/03/13,306599,FALSE,40,33,0.28,0.001,0.001
2018/03/14,336151,FALSE,41,31,0.01,0.001,0
2018/03/15,348239,FALSE,48,32,0,0,0
2018/03/16,349875,FALSE,40,30,0,0,0
2018/03/17,325142,FALSE,48,27,0,0,0
2018/03/18,278813,FALSE,43,28,0,0,0
2018/03/19,271647,FALSE,47,33,0,0,0
2018/03/20,313040,FALSE,39,30,0.001,0,0
2018/03/21,183665,FALSE,39,31,0.99,8.2,0
2018/03/22,300719,FALSE,50,32,0.06,0.2,7.9
2018/03/23,325884,FALSE,49,35,0.001,0,1.2
2018/03/24,310659,FALSE,51,35,0,0,0
2018/03/25,275777,FALSE,45,33,0,0,0
2018/03/26,280115,FALSE,50,34,0,0,0
2018/03/27,298705,FALSE,47,34,0.01,0,0
2018/03/28,314085,FALSE,52,38,0.03,0,0
2018/03/29,325632,FALSE,53,49,0.03,0,0
2018/03/30,307588,FALSE,62,44,0.03,0,0
2018/03/31,285271,FALSE,58,39,0,0,0
2017/09/01,260043,FALSE,71,55,0,0,0
2017/09/02,243715,FALSE,68,54,0.53,0,0
2017/09/03,204537,FALSE,69,59,0.74,0,0
2017/09/04,203364,TRUE,80,61,0,0,0
2017/09/05,276679,FALSE,85,69,0.001,0,0
2017/09/06,318657,FALSE,72,61,0.42,0,0
2017/09/07,327987,FALSE,71,59,0.01,0,0
2017/09/08,336097,FALSE,71,58,0,0,0
2017/09/09,320676,FALSE,70,55,0,0,0
2017/09/10,289574,FALSE,72,57,0,0,0
2017/09/11,292749,FALSE,76,55,0,0,0
2017/09/12,320614,FALSE,78,59,0,0,0
2017/09/13,325703,FALSE,83,64,0.06,0,0
2017/09/14,339032,FALSE,81,70,0.02,0,0
2017/09/15,334136,FALSE,81,67,0,0,0
2017/09/16,331845,FALSE,82,70,0,0,0
2017/09/17,287996,FALSE,81,68,0,0,0
2017/09/18,263989,FALSE,73,68,0,0,0
2017/09/19,279244,FALSE,78,69,0.22,0,0
2017/09/20,287126,FALSE,79,71,0,0,0
2017/09/21,285782,FALSE,80,71,0,0,0
2017/09/22,307683,FALSE,82,66,0,0,0
2017/09/23,325031,FALSE,87,68,0,0,0
2017/09/24,281595,FALSE,91,69,0,0,0
2017/09/25,289124,FALSE,88,70,0,0,0
2017/09/26,299938,FALSE,84,68,0,0,0
2017/09/27,329555,FALSE,87,69,0,0,0
2017/09/28,330666,FALSE,79,59,0,0,0
2017/09/29,329112,FALSE,68,55,0,0,0
2017/09/30,322921,FALSE,66,54,0,0,0
2017/08/01,288945,FALSE,92,71,0,0,0
2017/08/02,306301,FALSE,86,69,0.09,0,0
2017/08/03,314611,FALSE,87,68,0,0,0
2017/08/04,297206,FALSE,84,69,0.15,0,0
2017/08/05,263708,FALSE,78,69,0.3,0,0
2017/08/06,239352,FALSE,76,64,0,0,0
2017/08/07,269842,FALSE,71,64,0.76,0,0
2017/08/08,279735,FALSE,78,65,0,0,0
2017/08/09,293058,FALSE,85,64,0,0,0
2017/08/10,306138,FALSE,83,68,0,0,0
2017/08/11,287102,FALSE,82,69,0.001,0,0
2017/08/12,254633,FALSE,77,64,0.11,0,0
2017/08/13,227861,FALSE,83,71,0,0,0
2017/08/14,241900,FALSE,80,70,0,0,0
2017/08/15,274507,FALSE,74,68,0.45,0,0
2017/08/16,285120,FALSE,87,70,0,0,0
2017/08/17,291076,FALSE,83,69,0,0,0
2017/08/18,287746,FALSE,82,73,0.88,0,0
2017/08/19,263458,FALSE,86,73,0,0,0
2017/08/20,240126,FALSE,81,69,0,0,0
2017/08/21,249906,FALSE,87,71,0,0,0
2017/08/22,284356,FALSE,89,72,0.3,0,0
2017/08/23,285496,FALSE,81,70,0.001,0,0
2017/08/24,282979,FALSE,80,65,0,0,0
2017/08/25,271449,FALSE,78,63,0,0,0
2017/08/26,249491,FALSE,78,62,0,0,0
2017/08/27,235503,FALSE,78,63,0,0,0
2017/08/28,231141,FALSE,76,63,0,0,0
2017/08/29,278267,FALSE,68,61,0.29,0,0
2017/08/30,267900,FALSE,78,60,0.01,0,0
2017/08/31,273151,FALSE,81,64,0,0,0
2017/01/01,281263,FALSE,48,40,0.001,0,0
2017/01/02,224893,TRUE,41,37,0.21,0.001,0
2017/01/03,278099,FALSE,43,39,0.58,0,0
2017/01/04,289301,FALSE,52,34,0,0,0
2017/01/05,324421,FALSE,34,27,0,0,0
2017/01/06,340685,FALSE,33,25,0.05,1.2,1.2
2017/01/07,305981,FALSE,26,20,0.32,5.1,0.001
2017/01/08,290932,FALSE,25,16,0,0,3.9
2017/01/09,301996,FALSE,23,14,0,0,3.1
2017/01/10,305921,FALSE,46,21,0,0,3.1
2017/01/11,318251,FALSE,52,42,0.52,0,0
2017/01/12,326816,FALSE,66,47,0.05,0,0
2017/01/13,344915,FALSE,62,32,0,0,0
2017/01/14,342214,FALSE,34,28,0.12,0.6,0
2017/01/15,307477,FALSE,38,30,0,0,1.2
2017/01/16,260236,TRUE,43,30,0,0,0.001
2017/01/17,324254,FALSE,42,38,0.35,0,0
2017/01/18,324382,FALSE,41,38,0.06,0,0
2017/01/19,332456,FALSE,49,39,0,0,0
2017/01/20,341557,FALSE,45,40,0.1,0,0
2017/01/21,329093,FALSE,49,41,0,0,0
2017/01/22,292084,FALSE,48,43,0.05,0,0
